text,rationale
"No, no, no.You still multiplied 50 times 9, but I’m saying is we need to make the story have that make sense.If you’re waiting for me, please keep working.You can solve – you can start creating a new problem.Freeze!Please don’t talk over me.",1
"If you are done, you need to work on a brand new problem.Please don’t talk over me.Wait!Student G and Student J, please stop talking.You can work on solving a second multiplication – on solving and creating a second multiplication problem.So, you solve this still with multiplication.",1
"No.  You’re done?  For those of you – if you’re going to talk about something else, you’ll probably not have recess, just as a heads up.  No, I don’t need to hear it. Everyone freeze!  Eyes on me!  Thank you.  I know some of you are working very hard and solving the problems.  I’m coming around group to group.  Student D and Student M have finished their problem. I’m putting it on the overhead. So, if you have finished your problem and are waiting for me to see it, you may solve this one. The only problem is there’s no question mark and how can you ask a question without a question mark?  No I did.",0
So how are you – it’s okay; it’s okay.  Focus on this!  How can you solve this?  58 times 6.,0
"Great, that’s awesome.  That’s what you should be doing.  Who is waiting for me? How are you guys doing?  What do you have?  There are 37 bags and each bag has 6 apples.  How many total of apples are in all?  Now this is what we talked about before.  How can you change that last question so it makes more sense?",0
So you could say I have 5 rows – or you don’t even have to write column.  You could say I have 5 rows of cookies. There are 12 or 20 cookies in each row.  Okay?  The first one.  You don’t have a second one yet. What are you guys doing?  No what are you talking about?,0
No.  So I would like you to get back to work.,1
"That could have been.  I wish that that’s what you were talking about.  Mm hm.  Okay.  Boys and girls, raise your hand if you have finished writing and solving your first problem. Listen please boys.  Your hands should be up.  Okay.  Raise your hand if you solved Student D and Student M’s problem. Hm.  And raise your hand if you wrote a second problem for yourself.  You know what I might do?  I would like you – I’m going to type these problems up and you are going to solve them for homework.  I’m gonna type them during lunch. So, it’s time for math to end.  I would like you to leave your notebooks open onto the page where the problem is and I’d like you to pass the problems to your right so the last person in each row has a notebook that’s open.  Okay? Tonight for homework you are going to solve your classmates’ problems.  Everything else you can put away and we are going to stop.",1
"Okay, then, we're gonna have to work as pairs.  You two and you two, work in pairs.  Have a seat, dear.  Everyone else has an individual bag?  Yes?",0
"All right, scoot your chair up, sweetie.  Now, logically, when we think about something being negative, we think about it being what, good or bad?",0
"I need to see you working, sir.",0
"I need to see you working, sir.  I see a lot of hands.  This is a easy one.",0
"That was so wrong.  Okay.  Now, Student has already told us that the answer should be a negative one, which stays true to the rule of we put the sign of the number that has the greatest absolute value.  Eight had the greatest absolute value, so the sign is going to stay negative.  But then when we hop back seven spaces, have we crossed over the zero mark?  No, so we're still in negative territory.  But when we hop back on the number line from negative eight, we move back to the right seven spaces, we land up on negative one, which is our answer.  Now, how did you discover this using your counters?  How did you discover the correct answer by using your counters?  I see some people who always want to volunteer and share and then some of us who are very, very quiet.  I'm gonna come over here to Student because Student's kinda hiding back in the shadows, saying, ""Teacher, you don't see me.  If I'm really quiet, you won't call on me.""  Yes, I'm calling on you.  Did you discover that the answer was a negative one?",1
"Really?  Okay.  You with me?  Student, you with me?",0
"No.  Unless they have scuba diving gear, right?  Okay, excellent.  Thank you for being peacekeeper, dear.  One more example of how we actually need to have these negative and positive numbers.  Student?",0
"You need to mind your business, Student V, ‘cause I’m not gonna deal with you today.",1
"[Inaudible] – now.  Come back when you’re ready to not yell at people.  All right, good.  Sit.",0
"I’m – Student M, just pull the chair up and sit down.",0
You chilled out?  Here you go.,0
"Averaging group, I like how you’re working so quietly and nice.",0
Can you please look at the board before you shout out answers again?,0
"I would totally – I’d like to invite you up here, but you’re just a little too off the wall, and I don’t know why you have a marker with the cap off of it.  Student S.",1
Don’t touch those yet.  See what I mean?  You cant even sit still for two seconds.,0
"Listen ‘cause if you’re not looking, I don’t think you’re listening.  For example, I’m gonna give myself –",1
"I’m coming right now.  Do it without talking, and then when you have them – a division problem, you can write it in here. Ignore this top line, but see.  Mine would look like this. I had 8.  I had 8 and I divided it by 4, and I got 2.",0
"Student M, you’re doing this without talking.  If you don’t like the rules, you can go to your seat and do the worksheet.",0
"Student D. back up.  It’ll stop some of this mess that’s going on, but teachers you must – all staff members, you must –",1
"Just looking at it, it doesn’t seem to fit into some of the categories we've talked about.  Do you see a part of the shape that looks familiar?  Student A and Student C, let's get focused please.  Will you sit down in your chair? Okay.  We started discussing five general groups of geometric solids.  What is this an example of?  This is a cylinder.  What is this an example of?",0
"Please pay attention.  Student K, I would really like you to be able to stay here.  Can you guys work together?  This is a cube.  A cube is what kind of geometric solid?  It's not a pyramid.  It's not a cone.  It's a special kind of rectangular prism.  It is a cube, but it's a special kind of prism, a rectangular prism.  Squares are really secret rectangles in disguise.  That globe in the back of the room, what is that an example of?",0
"I want to go over some rules with these, because these are very fragile.I don’t want to send any of them back broken.I really appreciate the people who are listening, or not talking, and sitting still.Thank you very much.You'll notice that there's sort of two sides to these.",1
Back there?  Look where I'm pointing.,0
"Yeah, on the workbook page – oh, in the math room?  Let's switch please.  Come on, waiting on you.  It's written right there by the window.  Okay, group three, if you could move towards the front of the room.  Student R, what group are you in?",0
"Student C, what are you doing?",0
"I'm not saying I'm not interested in that, but what are you supposed to be doing?",0
"Then come on up please.  All right, boys and girls, can you please open up your math spiral?",0
Can you go to the office?  I don’t appreciate your attitude. You’ve already been once.  I would’ve thought you'd learned your lesson.,0
"Go, yeah.  So here's one, two, three.  I should have three more people.  Student K, you up here with us?",0
"Who are we missing?  One, two, three, four, five, six.  Student S, really?  Student A, are you here?",0
"Okay, would you please sit down and work on it.",0
You'll have to talk with Teacher C 'cause I'm working with these folks right now.,1
"What do you think?How about I hold it for you?You know what a face is?It has the one at the bottom, and if it's a hexagon, it's going to have 1, 2, 3, 4, 5, 6.Please stop.I'd really like you to think about what you're doing, and if you thought about it, you'd think, ""That's kind of distracting.",1
"That's not really helping me pay attention, or you pay attention, or the people around you pay attention.Another question you're going to have to ask is what shape is the base?How do we know what the base of the pyramid is?",0
"It's just so that when they're fast forwarding through all of these videos, they can see who's who.  You know when they have a movie, and they have that little thing that's like action, cut?  Hi, Student K.  Good morning 5th graders. Welcome back.  I hope you enjoyed your lesson.  Was there many differences between the book?  I'm just interested. That's an opinion, not a fact.  You'll probably find out when you see movies and books – you probably already knew that, but they're both very different.  There's usually more detail and back story in books.  Okay.  It is now math class.  We're going to get started.  I actually really appreciate that some of you have already started.  You're working in the student reference book.  I'm also recording this for a study on effective math teaching.  That's the last one.  Please be on your best behavior.  Today we're going to be investigating properties of geometric solids. Does anybody know what a geometric solid is, or what it looks like, or anything about it?  Yes, Student E?  Thank you for raising your hand.",0
"Yeah, come on back to your math seats please.  We will have more time to finish later.",1
"Group four, you guys are back here, right?Student N, Student C, Student K, Student E, back here please.Are you with that group?",0
I asked four to start back there.  Now I don't even know what I said.  Can you guys sit down please?  I'm going to talk to group three up here.  Are you in group three?,0
"Student A, please.  You're supposed to be back there.  Could everybody please come back?  I'm going to try this one more time.  Come back.  I'm so sorry.  Maybe it was my fault.  I don't know.  Come back to your seats please.  Can you put those back in the bags please?",1
"Let's try this one more time.  So go back to your seat.  We'll try it one more time.  I'm still waiting for five people to sit down so we can get moving on this the way I planned it. So those belong back there at that yellow table with the box.  I need to take care of them because Ms. B bought them. Let's just clarify here. I'm sorry that the numbering changed from yesterday.  Group two includes all of these people here in this circle.  Student S, Student D, Student B, Student J, Student K, Student B, and Student A.  Is that clear?",1
"Tell you what.  I'm going to start with group two up at these two tables.  When we start moving, I'm going to ask you to come here.  Group four, you guys are going to be working on the workbook pages in the back of that room.  Listen.  Stop complaining and listen.  That includes Student N, Student C, Student K, Student N, and Student E.  You're going to be in the back of that room, that area I'm pointing to, and the workbook pages are posted, okay?  I would like group three to start in the back of this room.  Don't move.  The Ziploc bags and the plastic bags and nets are all going to stay in that area.  We're going to be rotating, so you're going to get there.  Please don’t worry.  Okay.  Student R, please sit down.  Raise your hand if you're going to be starting in the back of that room.  What group are you? Excuse me.  What group are you back here?",1
"Can you all quickly get where you need to be and start working? If you're with me, come to the front.  Student B, where are you supposed to be?  Get going.  You're right.  For some reason I did two, three, four, and that was a really dumb move on my part.  Thank you for pointing that out. Are you guys up here with me?",0
"No, you can leave a little bit around the edges, right?  Talk to your elbow partner about what you're doing as soon as you finish.  Good.  Okay, I like the way you're working. Let’s just go over the first two problems, the first two problems.  Go to the board for me, first two problems. Student A, first problem number one.  And number two, please number two, shade three fourths of that one, Student J.  Give yourself a little space.  You can erase.  You can use any part of the board.  How many parts do you have?  So yours is number one, Student A.  Class, read number altogether for me, please?",0
"All right.  So, today we are continuing our lesson we started a couple days ago on reflection and we are gonna be working using our reflection mirrors today to figure out some properties of reflection, and what that means.  So, we’re gonna start with slate math and then we’re gonna partner you guys up in groups and we’re gonna work on that worksheet, the back side of the worksheet that we finished the other day. Can you put this away?  Thanks.  To do slate math all you need to know is how to –",0
"Okay.  So for mental math today we are going to be reviewing dividing with decimals.  This is a skill we’ve already worked on for the past two weeks and this is just a review. So I’m gonna write on the board some problems and I’ll give you some time to work them out and then you’ll show me your answer. Think.  32 and two tenths divided by 16.  Write.  32 – I’m sorry.  35 and two tenths divided by 16.  You need to get a piece of paper.  That was the instruction.  And once again, Student W, the rolling of eyes, that’s the second time.  That’s the second time.  If you don’t have a slate, the instruction, Student D, was take out a piece of paper and a pencil.",0
"I’m sorry.  I don’t think anybody can hear you.  Student D and Student V are talking.  How do you read that decimal?  I know that she knows how to read the decimal.  How do you read the decimal?  The number on the board? [Whispering] Nobody can hear you.  Do you not know how to read the decimal and I just think you know how to read the decimal? You don’t know how to read the decimal? Okay.  I need you to use your words.  I’ve heard you speak before. So, I know that you can.  Can you read the decimal?  Yes. Can I hear the word yes ‘cause I can’t read sign language. Yes.  You just don’t want to read the decimal?  Yes or no? You know this is our math block time right now, right?",1
"Okay.  So, the longer it takes me to get words out of your mouth is the less time we have for math.  I think that’s a little unfair, especially when you clearly can speak.  Do you want some help reading the decimal?  I can’t hear you.",1
"Student A, I see your hand up but I called on Student V.  So, put your hand down ‘cause it’s rude to have your hand up when someone’s speaking and if you want to add something after Student V’s finished, I’ll come back to you.  Student V?",1
"Student Z, let go please.  I’m sorry, Student A, one second. Let go, please.  Let go, please.  It doesn’t matter how – let go.  Let go.  It doesn’t matter how many times you ball it up.  Your mom will see the same thing. [Inaudible], take a break because you’re not the teacher and I understand you’re frustrated ‘cause you’re trying to share right now, but it’s not appropriate for you to tell anybody what to do.  Can you go take a break please? Let go, please.  Let go, please.  I’m not struggling with you Student Z.  I’m not prying your fingers open.  I’m asking you to let go.  Student A, when you calm down you can come back. Can someone tell me what a reflection is?  Student V started with it has something to do with light, and it does.  What about the light?  Student S?",1
"I’m following the light to get somewhere.  Am I a reflection? No.  So I don’t think it’s something.  Can you let go, please?  Really?  I have to hold your hand?  Can you let go, please?  Okay, thank you. Student S, do you want to call on a friend to help?",0
"I can’t hear you, sweetie.  You gotta say it louder.",1
"Student A, can you get a piece of paper for [Inaudible] too? Or, Student C, can you give that piece to Student D. Here’s your paper.  On the board we have 35 and two tenths divided by 16.",0
"Yeah, a crystal could give a reflection of something.  Usually the way the light hits a crystal will give you a reflection of what?  Colors.  Right?  So you can see a reflection of certain colors based on the way the sun reflects.  Can you fix your chair, Student A?  And your desk.  Thank you. So, what we’re gonna do as a quick activity to sort of put into practice all of the things that we just talked about in terms of reflection is, I’m gonna partner-pair you up.  And we’re gonna have like two minutes to do it. So, one partner is gonna pretend that they are a mirror.  So they strike a pose.  And the other partner will then strike the same pose.",0
"All right.  So, Student D and Student S, go ahead and partner up.  Student W and Student J, go ahead and partner up. Student A and Student W, go ahead and partner up.  Student K and Student A partner up.  Student J and Student E partner up.  Student S and Student A partner up.  You and Student C partner up.  And can you partner with [Inaudible]?  Thank you.  So if you got a partner, you go stand next to your partner.  Student V, you don’t have a partner.  I’ll be your partner. All right.  So, if you’re a one, actually the student who is the shortest of the partner pair gets to go first.",0
"So you’re the partner who gets to go.  So, you’re gonna strike a pose and then I have to mimic you.  So, partner who’s the shortest should be doing something.  Not a movement but a pose.  The second partner should be then copying, pretending that your partner is the mirror.  So you need to be able to do or move in a way that is exactly the same. [Inaudible], you gotta move close to your partner.  Go ahead.  You have to do the same thing.  There you go! Student J, are you starting?  You guys can start.",0
All right.  Then switch.  Are you mimicking exactly what I’m doing?  ‘Cause my hand is on my hip.,0
Where?  I can’t hear you.  Please speak up and stop mumbling.,0
"No.  So, Student V, raise your hand right?  And then when I call on you, you can comment.  But what I’m gonna say right now is then is a shadow and a reflection the same thing?",1
"As soon as you raise your hand quietly, that’s when you get called on.  Quiet hands.  Student C?",0
Can you sit up?  Why are you sitting like that?,0
"[Inaudible], stop.",0
"Once you use your reflection mirror, pass it to someone else. So, look at the bottom of 291.  Can you read the words at the bottom of the page?",0
"Student A, when you’re done looking at it, can you pass it to someone else?  We’re short on mirrors and not everyone has one.  Student J, has it.  [Inaudible], where’s your math book?",1
"Go get it, please.  Open up your book.  Thanks.",0
"What you need to have with you, those worksheets that have the dog on the backside.  You need to have one mirror.  So, if you are with a partner who already has a mirror at their desk, you don’t need to bring another one.  You also need a pencil.  This transition should take you less than ten seconds.  I’m gonna count down to ten.  By the time I get to ten, you need to have your paper, a mirror, a pencil and a seat next to the person you’re working with.  Ten, nine, eight, seven, six, five, four, three, two, one. You had ten seconds.  Student A, who’s your partner?",1
"Who?  Sweetie, all you have to do is walk to the seat.  Did anyone hear me say bring your math journal?",0
No.  I never said bring your math journal.  I said bring the paper that has the dog on it.  Have a mirror with you and a pencil.  Raise your hands if you were able to follow that direction?  You have a math journal with you.  You weren’t able to – you have a math journal with you.  You were not able to follow that direction.,1
"And I said use the same partner pair.  So, can you please move your chair next to Student A?  Put down the mirror ‘cause the only thing you need to bring with you was one paper, one paper, a pencil and a chair.  He has a mirror.  Thank you. Everyone together.  Great! All right.  We have 15 minutes for you guys to get through this activity.  This is the independent practice part.  You all need to put the recessed edge of the mirror on the line next to the picture. So, everyone needs to turn their papers over.  You should see a picture of a dog.  The recess, that’s the side – well, who can tell me which side is recessed?  Which side?  Student V?",0
There’s a desk in between you two.  It’s hard for me to understand why you guys can’t work out this problem.  Which side is the – Student Z?  Student Z?  Student Z?  The problem is I’m talking.  I’m in the front of the room. Your back is to me.  So you’re clearly not listening to anything that I’m saying. I’m behind you.  Stop trying.  That’s your problem.  You’re not listening.  Because you have your mirror on the wrong side. This is why I’m trying to help you figure out how to do it. Which side is the recessed side?  You are so trying.  Student D?,1
"Yeah.  You see this side that has that little ridge that’s like indented a little bit which is at the top of yours?  It should be on the bottom of the page.  Yep.  So, everybody put the recessed side on the bottom of the page. Can you all show me that that’s what you can do.  The recessed edge – [Inaudible], did I ask you to draw anything?  Nope. Student J, did I ask you to draw anything?",0
"Did I ask you to draw anything?  If you’re drawing right now, you’re not following directions and I know you didn’t follow the direction two days ago.  And you’re still drawing.",0
"Student S, why are you over here if your partner’s over there?",0
"Please go back.  You guys really need to start following directions.  We’re at the end of fourth grade and you guys still can’t follow basic directions.  It’s hard.  I can’t even get through this simple activity.  It should take two minutes to explain.  We’ve wasted five minutes already. Student K, go take a break.  Stop drawing, please.  Go take a break.  That means you have to get up and go sit in a – take a break, [Inaudible], and think about following the direction.  Thank you. Wow! When you look directly through the mirror, you should see the image of the dog’s head.  It’s best to look through the mirror at the same level as the mirror.  So that means you gotta bend your head down and look through the mirror. Student C, go take a break.  I’ve asked you to stop drawing and you’re still drawing.  So, take a look at the dog through the mirror.  I want you to carefully draw the image of the dog head on the paper the way you see it and where you see it on or through the mirror.",1
Why is he drawing – where’s your paper?,0
"Well, Student S, that makes sense.  Why are you letting him draw on your paper?  Wow! All right, if you’re done drawing because you’ve already – and Student S, you don’t have a paper.  Student A, sit down please.",0
Sh! Student A?,0
"Look through the mirror.  That’s important.  There was no way for you to see the reflection if you didn’t look through the mirror.  Thumbs up if everybody agrees with that. Okay.  So you know you have to look through the mirror to see the reflection. Okay.  How are the two drawings alike?  How are the two drawings alike, Student J?",1
"Didn’t we draw the same shape?  So we have a semi-circle, maybe an oval, and a circle for the nose.  We curved the head. So we have the same shape, the same size.  Student D, sit up for me. What’s different about them?  What’s different about them?  You gotta look at your paper.  Yes?  Student Z, what’s different about those dogs?",0
"I see right side on this side and I see left side on the other side.  It’s reversed.  For instance, put your hand down. Student A, come stand up.  Student Z, your back is to me the entire time.  You’re not learning if you’re not paying attention. If Student A and I are standing here, let’s pretend we’re the same person.  You see this side of his body.  What side is this?",0
"You gotta draw it on the other side, Student A.  You gotta draw it on the other side.  Yeah, I see your hand.  I’m not interested in you going to the bathroom right now.",0
"You should draw it.  Stop writing your name, sweetie.  Measure – all right.  What’s the measurement?",0
"I know, sweetie, but you weren’t paying attention.  I said measure to the reflection line.",1
"The same.  The distance – you need to know these properties in order to get into lunch.  Please close your books.  Hold onto these papers.  We’re gonna use them again.  Please move back to your seat.  Move your chairs back to where they belong.  If you have lunch in your cubby, go get your lunch.",1
"Student E, stay on the same path.",0
"Okay.  Student E, come sit next to me.  Student H, stop talking to her, okay?  Or come sit next to me.  You’re not being helpful if you’re just talking to her.  She needs to understand.  I’m gonna help her do that.  Very good.",1
"Subtract.  Student A, lower your voice.  Lower your voice. Student A, if you can’t work in a group at the appropriate volume, then you won’t work in groups, you’ll work independently.",0
"Student K, switch seats with Student D, you know you’re not to sit next to Student A.",1
"Joining process.  You’re gonna find it all of them.  And, you’re gonna say which one is the faster.  Okay, so you need to write four here.  Correct.  You know how to divide, and bring your decimal point up.  Whoa.  What just happened with the volume in the Student T?  What just  happened to the volume in this room?",0
"All right, I’m looking for Student A, A, H, A, A, and M.  We need to be back where we should be – what?",0
"Hold on, I’ll be right with you, page 337, please.  It’s 337. Excuse me, let me say this again.  Everyone may freeze – We are not talking in our outside voices – we’re working independently, because I asked you not to talk.  I asked you not to talk. You’re not talking.  So-",1
"In appropriate classroom voices, everyone is speaking in a whisper because the folks in your group will hear you.  So, let’s go ahead and get started.  These folks here, they’re starting with a multiplication exercise.  It is time.  Four minutes is on the timer, you need to press start.  Stop talking, I’m giving you four minutes.  As soon as I stop talking, you may begin.  You have four, just that side. You have four minutes to fill out as much of the chart as you chart.  Hopefully, you’ll finish it.  If not, we’ll see.  We’re gonna check for accuracy.  Also, too, after that, you’re gonna be moving to -- You guys can work on division, and then when you’re done with that, you’re gonna go ahead and move onto area, which is the next sheet.  These folks over here, you’re working on Oder of Operations – guys, one, two, three, go.  All right, shift it back.  You guys moved a whole table group over.",1
"Thank you, Student A, say it again?",0
"Good.  So, what are the quantities involved?  Please have a seat, please have a seat.",0
"Follow along the table, you can’t keep adding. You can’t keep adding.  It’s gonna take too long.  Come on, are you solving or are you just talking?",1
"37 cents per – okay, we’re working right now, so excuse me? Stop talking about things that don’t have anything to do with math.  Okay, number three, a store sells a four pack of AA batteries for $2.00 – oh, I’m sorry, one pound of slice turkey and one palm is equal to – read the whole thing.",0
"You’re looking at two different problems.  When I’m looking like this.  We’re too loud in these two table groups.  At the blue math rotation map.  And, the green math rotation. Please, lower your voices.   No.  None.  How many can go into 64?  How many times do you think?  Try not to.",1
"At the end of our time together, we’re gonna go ahead and turn our materials in.  As you know, what we get done during this time depends, well tell who’s going to recess and who’s not.  Who’s got to sit and finish their work.  I don’t have my whistle.  So, go ahead and do, move to your first rotation.  If you are with me, at concept inquiry, the red table, we are working in our math journal, volume two, on page 337.",1
"Go ahead.  Guys, we’re not gonna do that.  We’re not gonna do this hard one.   Excuse me, guys at the blue table.  You are too loud.  Put your bottoms in your seats and use your inside voices.  Student J, I love that you’re speaking to Student W.",1
"Stay focused, ladies and gentlemen, we’ve got about 10 minutes remaining.  Half your time’s up.  And I’m gonna be checking work from your blue folder before we proceed to recess. So, make sure you’re doing what you need to do.  Bring the decimal up.  Student J, did you get out of your seat, without permission.",1
"Right, because you need to go work with your group.  That’s why you’re in a group.",1
"Sit down.  Student J, you’re working with the group.  If you can’t work with a group, then you’re – well, you’re sitting out of recess.  Okay, you guys are – then why do some of you have it written down, and others don’t.  She was ___ together.  Together.   Help each other.",0
"Student K?  Come sit over here a second.  Come over here. Because now you affecting other people, and preventing them from finishing.",1
"You shouldn’t even have to set that up.  Because it’s the basic math, bringing in decimals.  And, I’m gonna write her mom and tell her that she needs to make anything you participate in or do on the weekends, contingent.  Alex, Alex?  We need t have a serious conversation.",1
"Now, multiply the cost per ounce by the number of ounces to find out how much – 14 times.  Student M?  All right, we have about three minutes remaining, three minutes remaining.  We’re do our final rotating.  Please, sit down. I’m working with a group.  We’ll do our final rotation when we return from lunch.  Student W,  please stop talking when I’m talking.  And, quiet, Student W.  And, at that time, we will finish talking about this and do our wrapup. But, for now, we need to get some lunch.  And, what I need from all of you if for you to put your work into your folder.  I need you to tuck your work into your folder, and when I call you up from the line I need you to present me with your completed work.  All right?  Thank you.",0
"We divide.  So, the first thing I want you to do is to underline the quantities that you’re dealing with.  Good. 15 ounces and $3.60.  So, we’re gonna divide.  Let’s do that now.  Let’s set up the problem first of all.  Boys and girls, we’re a little too noisy.  At the converge, at the computation table.  Okay, so now that we, okay, Student T set it up correctly.  Student D.  No, don’t show him, let him do it.",0
How on one second.  Can everybody hear Student A?,0
"Guys, we’re really loud.  You’re really loud.  We should be in our whisper voices.  I’ll be right back.  I need to tell them the same thing.",0
Good.  You’re too loud.,0
"What I’m seeing is not good.  And, I mean, you can keep on top, and just stay in your seat.  But, if you can’t do that, then unfortunately, you’re gonna have to go to the ______. Boys and girls --",0
"Excuse me, you guys are way too loud.  Student D, whisper.",0
"60 percent.  And how did you figure that out, Student N? Listen up, guys, this is important stuff.  How did you know that 3/5 was 60 percent?  What was the first thing in your head that led you to get to that point?  Did you start by figuring out a fraction that was even smaller?",1
"Go ahead.  Close the door behind you.  We have that sign on the door, okay? You got it, Student N?",1
"So, okay, Monday, Tuesday and Friday would have worked.  But you’re right, there’s only one combination of two days, Wednesday and Thursday.  Nice work, guys.  Turn this page over, we have one more to do, and then we’re going to start our math. All right.  No, this is it, we have one more to do, guys, and then we’re moving on.  You should be on page 14.  It should be Miguel’s Fruit Salad Recipe.  Before you start, quick question.  What is 100 percent, raise your hand.  Student P, can you put that away please?  What is 100 percent of the total number of kids in our class?",0
"We don’t use those words, do we?",0
"Write 60 percent next to that.  It’s 60 percent of one quart, right, because these are coming to you in quarts.  2/3, can you convert that to percent?  Remember it all starts with doing 1/3, doesn’t it?  Write down 1/3, what it is percent wise.  Off over here.  I’ll be right back. You guys need another minute?  Raise your hand if you’re done. You’re done?  You’ve got to sit up straight in your chair. You’ve got the right idea, you should be combining these. Okay, now wait a second, what are you doing there?  Oh, you had it, you wrote 66 and 2/3.  Because 1/3 equals 33-1/3.  Rewrite that again, I’m sorry, I shouldn't have erased that.  You have 60 percent, 66-2/3 percent.  Obviously you know what a fourth is, write that one in.  Is it 20 percent?  I thought that was a fifth.  What’s a fourth? Student H, I haven’t called on you yet today, have I?  I guess you know what that means.  That means I’m going to call on Student J. Okay, so how much is a fourth, how many percent?  We know a fourth is a half of a half, and we know a half is how many percent?",1
"500 percent.  So percents is per 100, right?  And what I did is since I put these fractions into one-hundredths, then what I can do is I can just add them all together, right Student S? Student S.  Tell me how I’ll know if I can fit them in the bowl.  I don’t want to keep on giving this up.  How will I know if it will fit in the bowl, and how will I know if it won’t fit in in the bowl?  Or should I call on Student H now? We’re going to get Student H slide on this one today, we’ll get her next time.  Student S, why don’t you finish it off, because you started us off great. Sit up please.  Student P, sit down please.  Thank you.",1
"All right, we still have some work to do with this.  What we’re going to do is, we’re going to do in between for the next 15 minutes till we switch.  So but these in your math folders, break into your partners that are sitting at the tables with you.  Student D, I want you to work with the people that are right across from you.  Student D and Student A, I want you to go to the round table in the back and have Student N be your partner.  Everybody get their decks of cards, okay?  In between, if you need a set of copies on the rules, they’re up here on the table. I think everybody’s good with it though.",1
"We can do that in between, that’s fine.   Once you get your deck of fraction cards, guys, you can go ahead and get your snacks too.  And then if everybody wants to turn to the camera and say thank you?   Thank you!",1
"Can someone go – Student B, go find Student J.  Tell him I",0
"How are you going to show your work?  That's the game today. How are you going to show your work?  That's why you're together.  You're going to work together and compare your answers.  You have one.  This is fine.  That's exactly what the question's asking you.  Go sit down, and raise your hand.  How many miles did they drive all together?  So they started here.  They drove from here.  They went to there. How many miles did it take them to get there?  And the after they stopped there, they drove here.  How many miles is this and that?  Yes.  How many miles did they drive all together from Virginia Beach, to New York City?  Good job. That I don't really understand.  What are you showing me with that?",0
"Okay.  You either need to make this bigger and spread it out, or do it on another piece of paper, but that's a little – keep going.  Let me see how you do it.  You need to raise your hand please.  Go back to your seat and raise your hand, and who are you working with?  It's Student S, so you should be working with Student N, okay?  Student T, [inaudible].  Can you read what this is asking you, this one?  Do you know what it's asking you?  All right.  I want you to read it.  Do this one with Student N, and do this one together just in case any of the words get crossed off.",0
"18 and 19.  You're working alone?  You can work with Student J and Student K.  Do you know what to do for that one?  Go work with Student J and Student K, please.  Student G, I'm sorry.  Why are you out of your seat right now?  If you have a question, you sit down and raise your hand.  When I looked up at you, you were playing with your pencil and goofing off with Student R and Student G.  What is your question?  What is this question asking you?  Read the question.  Right here, read this.",1
"No.  Just do it the one time.  That's fine.  You can do it twice.  Go ahead.  What are you playing with now?  Nothing? You're doing this together.  Can you read this with him? Because his is all broken off.  You have four more minutes, and then – you know what the rest of your homework is, right?  Okay.  So it's day one of your spelling, ABC order three times each, your sketches, and your Charlotte's Web.",1
"Five times 30 equals – can you shut that door, Student B? Student F, can you help Student J, five times 30?",0
"Good job.  Okay.  So number one, can someone read for me in a nice, booming voice, number one?  Student K, read number one for us.",0
