text,cm
"Then come on up please.  All right, boys and girls, can you please open up your math spiral?",TRUE
Okay.  But are you talking feet or are you talking inches?  So you want 12 inches by –,FALSE
– again.  Five times seven is?,FALSE
In a minute.  In a minute.,FALSE
Twenty-seven.  Bring down your zero.  This is kind of third grade stuff.  But bring down your zero.  Forty-five into two hundred seventy.  I’ll give you a hint.  It’s even – you can evenly go in there.  You won’t have a remainder. Student T?  Did you hear what Student J said the answer was?,FALSE
"No, you can leave a little bit around the edges, right?  Talk to your elbow partner about what you're doing as soon as you finish.  Good.  Okay, I like the way you're working. Let’s just go over the first two problems, the first two problems.  Go to the board for me, first two problems. Student A, first problem number one.  And number two, please number two, shade three fourths of that one, Student J.  Give yourself a little space.  You can erase.  You can use any part of the board.  How many parts do you have?  So yours is number one, Student A.  Class, read number altogether for me, please?",TRUE
Very good.  What did you divide by?,FALSE
Mm-hmm.,FALSE
"All right, let’s see that cube one more time.  We’re not playing with the blocks, remember?  Here we go.  Edges. Ready?",FALSE
"Now that we know that the direction is different, what else is different?  What else has to be different?",FALSE
"Student L, can I leave that 1?  Tell me what I do.",FALSE
"50.  Excellent, and Student M, for the last one, what did you do?",FALSE
This is your actual shape? So what are you doing when you’re tessellating are you just sliding it?,FALSE
"I need to get a 5.  I’m going to look.  I’m so sorry, but there’s nothing with the number 5 in here.",FALSE
"Okay, yes, he is correct.  Let's give Student S a snap for that.  I'm going to give – let me see, I'll try.  Okay, so I'm going to do one more example.  It's going to be a little bit more difficult for you to do.",TRUE
"I’m not sure that’s gonna help you.  Keep going.  Let me see where you go with it.  This is what you mainly focused on. That’s fine, ‘cause obviously this is what you’re being taught at home.  If you weren’t really exposed to any other strategies, you’ll get to see some of the other ones that the kids have done, and then you can try those strategies out.  Okay.  With this one, you’re not gonna be adding these two numbers. times or add 17 35 times.  But does that sound like a very efficient way to solve it?",FALSE
"Number 1, because it's the same thing.  So I can multiply or divide the numerator and denominator by—",FALSE
"Multiples of what number?  So what is this a list of? Multiples of 19, maybe not the best choice of numbers.  So what would I have known if I had started – eyes and ears on me – whatever multiples of 19?  I would have known that I would have run out and not been able to put one more piece of candy in the last box.  Did you see what I just did?",TRUE
"Okay, thank you, Student J.  Yes?",FALSE
"Halfway again.  So 35 cents would be our half.  What’s another way to write – what’s another way to show 35 cents besides a decimal point and a 3?  0.30.  This is like three dimes.  This is like 30 pennies.  It’s important to understand it’s the same amount of money, so in decimals, three tenths is equivalent or equal to thirty hundredths.  How many tick marks do you think you’re going to have between three tenths and thirty-five hundredths?",FALSE
"Right.  So you end up with 315.  Can you explain to us, Student A, what's next?  You got 315.",FALSE
"3 times 6.  Awesome.  My parenthesis, again.  What am I missing?  I’m missing something that’s really important in here.  Student C?",FALSE
"No.  You're thinking about fractions.  What are you going to say, Student C?  When you subtract, what is the answer called in a subtraction problem?  That's what I want to know.  What's the answer, Student S?",FALSE
Yeah but you can do the yellow and then squares and then triangles to make this the one with twelve sides.,FALSE
"Let me see what you did here.  We're looking right here.  How did they get to 1 here?  Stop yelling.  What did they do? 6 plus 5 is 11.  If 6 plus 5 is 11, why didn't they write 11 here?  What happened?",TRUE
Do you have any thirds on here?,FALSE
"Remember, I only have 8 feet of fencing.  Can I have – if I only have 8 feet of fencing, can I have a 12 on a side?",FALSE
Where do I get – how do I know that?,FALSE
"Student M says his is 19 feet.  That's equal to how many yards and how many feet?  Remember, we were doing the conversion yesterday.  So write your answer here, 19 feet, and then tell me that equals, and tell me how many yards you can get out of 19 feet.  What do you need to know, Student M, to be able to do that?  If you're changing feet into yards, what information do you need to know?  If you need help, call on somebody.  Wait a minute.  We're trying to help Student M, and it's going to help you too.  Student M seems stuck. Student J, can you help him?  We're talking about feet and yards.  How many feet does it take to make 1 yard?  You had the right number.  You just said the wrong thing.  You said inches.  How many feet does it take to make 1 yard? Student C, can you help her?",FALSE
"‘Cause look, if you did 1, 2, 3, I have one of them shaded. Two of them are not.",FALSE
Okay.  So you’re on the right track.,FALSE
You compare the … what?,FALSE
"2 is one half of 4.  Good, Student G.  Student C? Okay, can you tell me what you’re thinking with that, Student C?",FALSE
Many people are finished with the first activity.  Some of you went on to looking at making the prisms.  I want to talk about the first activity as a class. But people need to stop with the blocks.  Need to put their hands like this and face me.  Thank you.  That means you’re not gonna go back in two seconds and start touching the packages again.  All right?  ‘Cause we’re gonna go over some of what was going on here today. Okay.  We built a box.  What were the dimensions of the box?  Raise your hand if you know.  Okay.  Student J?,TRUE
Huh?,FALSE
"You get it, Student E?  Okay, Student E.  What if one side's 4? What's the area?",FALSE
"They took them out in different orders and they sort of, arranged it differently.  Did they all have the same fraction of eggs left?",FALSE
"58?  Yes, you are right, $58.31.  Today we are purchasing a hamburger.  If you prefer a cheese burger, that’s fine too.  So you have to tell me how much does the hamburger cost.  So after we purchase the hamburger, how much do we have as a total balance?  Okay.  Look at it over here.  This is a penny, a dime, a nickel, a quarter, and what’s that?  What is this?  Half a dollar.  We discussed this.  It’s half a dollar.",FALSE
"Oh, you've been doing more with remainders?",FALSE
What do you think?,FALSE
From 1800 to 1610?  Student N?,FALSE
"Remember, you still have those redos from this morning that I gave back to you.  Come around.  Okay.  When you write the answers, don't forget the square measurement.",FALSE
"Oh, you mean if you cut it again?",FALSE
"That’s fine.  It’s 5 groups of people.  I mean you could even say 5 people and each person threw 42.  It doesn’t matter what the group is.  I was just asking for – to understand, okay?",FALSE
Huh?,FALSE
"Okay, so can I put that in words, I mean numbers?  So she started with 28 times 5.  Now Student A, pay attention to this one ‘cause this isn’t the place value way, but this is another way of breaking up numbers, okay?  So thinking of the double, she said 28 is the same as a 14 and a 14. So let me just draw that array.  A 5 by 28 array.  Cut it right down the middle, you’ve got 14, 14.  Okay?  So 5 times 14, two small arrays.  Alright.  Thanks Student [A]. Alright.  Anybody else.  A different one of these?  A different way to break up numbers?  Student [E]?",FALSE
It flips the words?,FALSE
"One and six tenths.  All right.  Wipe your addition problem.  I want to find out the total number of pink for our entire class.  So you're going to add up the one and six tenths, the two and one tenth, and the one and six tenths that we had before, or from each of the tables.  You're going to wipe what you're not adding.  You're going to add those three numbers together to find out our total pink for the class.  I know we only did a little bit with mixed numbers, a little bit last week, so we're going to see what you can do.  Where are my whole numbers?  Don't forget my whole numbers.  Is it okay to write it side by side?",FALSE
It does tessellate alright where’s your actual tile? Okay so this is right here and then you flipped it over there and then you slide it over there perfect. Good job. See if you can come up with another one.,FALSE
"One side has ridges in it, and the other side – see these little dots in the middle of each panel?The side with the dots on it is going to end up on the inside of the shape.If you fold it the other way, these little hinges can break.They're really fragile.",FALSE
"It should have been turned into Teacher T.  Your name needs to go on it.  And, well, you know what?  That was from last week.  Never mind.  You’re just gonna have to hold on to it.  Okay.  Right now is not the time to come up to me. All right, so, red and orange come choose a center.  If you need to be with me, just put yourself under with me and we’ll get going in a minute.",TRUE
You need to draw it.  Draw a line of symmetry.,FALSE
"Excellent, because 35 is a multiple, but not 36.  Okay.  So I like how you said that, and if you keep in mind the division is the inverse of multiplication, it may help you.",FALSE
26 plus 4.,FALSE
"Nope, we’re not going to divide.  [Inaudible].",FALSE
"Okay, then what’s four times four?  What’s four more?",FALSE
What place would it be in if it was over here?,FALSE
Yes?,FALSE
Bottom number goes on this side.  Top number goes on this side. 20 and?,FALSE
If my unit is getting bigger I’m going to use division.  So I need 6 cups divided by what to figure out how many pints? How many cups go into one pint?,FALSE
What your name?  You can write it small.  It doesn't have to be large.  That’s fine.  Yes?,FALSE
Ten 100 charts?  How do you know?,FALSE
"Student C, you need to go to your seat.  The directions are be in your seat in three, two, one.  Second direction.  Second direction, write your name and the date on the graph paper. Student D, you’re part of this.  You’re part of this.  You have graph paper, Student D?  It was, go to your seat, put your name and the date on the graph paper.  I’m gonna put a problem on the board.  It should take you – if you were paying attention – about two minutes to do it.  When you’re done with it your thumbs are gonna be up. I’ll check it and I’ll send you to special.  Put your name and the date on the graph paper.  All right, here’s your question.  What percentage – don’t say it out loud, you’re gonna do it on your sheet – what percentage of students chose blue as their favorite color?  Show me the work.",TRUE
But then how are we gonna fit this one in here?,FALSE
It's part of a?,FALSE
A pond.  And what’s that?,FALSE
One hundred and fifty.  What's the next step?,FALSE
You added 10 six times?,FALSE
"Put the decimal on top so that you do not forget the decimal in your answer.  It makes a big difference.  Student S, can you come solve the problem on the board?  262 and eight tenths.  You don’t need to put the decimal down here. Where do you need to put the decimal?",FALSE
Rewrite the problem.  Yes you may.,FALSE
Remember how long something is.  How long.  Lift is what? Height.   Ooh.  What about height?  Student T?,FALSE
"Okay, but in multiplication I can line up my decimals also. Student N?",FALSE
"Okay, we’re all set.  It is on.  Okay, guys.  So we’re going to record for about the next hour.  Finished up our ten-minute math.  You can put your ten-minute math notebooks away. We’re going to take a quick look at the objective in the back.  Students add and subtract fractions by reasoning about fraction equivalents and relationships.  So as you guys know, we’ve done most of our teaching for this unit for fractions and percents.  We’re doing a lot of work now just getting ready for our assessment on Thursday.",FALSE
Okay.  So I’ll just walk away.  I’m walking away now.  Goodbye. Student N?,FALSE
"Good job.  So 5 and 2 is 7, 4 and 1 is 5.  57.  Are we there yet?",FALSE
"You're going to look at page 19.2. Who are we missing?Student S is not here.Student C, you're here.Student A is here.You weren't here yesterday, were you, Student C?Were you?Okay.Open up to 19.2 in your practice workbook.19.2.All right.",FALSE
10 times.  10 times 2 is?,FALSE
"Come in here, you’re continuing to work.  Underline all important information.",FALSE
"We're going to sort some of the things that are the same, together.I'm going to ask you to use them in a certain way today.I'll use Student M's package.I want everybody to take their manipulatives and push them to the top of your desk.",TRUE
"So I would start with 634, then what?  Oh, I'm doing the wrong thing.  Let me get rid of that right away because I got a different marker.  Sorry.  You're saying I would start with my total.  That's one way to do it.  634, and what would I take away from there?  That's good, Student A.  Thank you.",FALSE
"Sit down.  What is the measurement – you can do it after – what is the measurement of a right angle?  Raise your hand. Student A, what is the measurement of a right angle?",TRUE
"1/3.  And the reason I can go further in 1/3 is because I know that 7 is a factor of 21, it goes into it 3 times.  7 goes into itself once, and it goes into 21, 3 times.  So it doesn’t – and we say this a lot – it doesn’t always have to be that the numerator and denominator are even numbers. There’s other ways to show fractions in lesser terms. Nice job.  Can somebody read the last one for me?  Student J?",FALSE
"So enjoy your candy, go to your math centers, and I'm going to be pulling some people up to the front to talk about equivalent fractions.Since I won't be using the group table today, that's a place you can use for centers instead of this front floor space.",TRUE
"Numerator.  Student D, what’s the numerator?",FALSE
And what is 56 and seven?,FALSE
"No.  And it says three more than a number.  Three more than a number.  So are we going to multiply, Student A?  No.  What do you think we’re going to do, Student A?",FALSE
What?,FALSE
"But, sweetie, that’s what I’m asking you.  What do you mean by the next two numbers?",FALSE
"I'm just trying to see when we talked about it.  Now you do have 6 and a half, but that's when it's 3.25, okay.  If it's just a half, if you have 50 cents and 50 cents you have a dollar.  Does that make sense?  It's just a half of a whole, okay.  The next one, 16.35.  What is it, Student J?",FALSE
7/8.  Can you go?,FALSE
A great way to remember.,FALSE
That’s our vocabulary for today.Attributes and units.And you’ll find out what measurement is.The definition of measurement in one moment.Can I have the paper collectors hand out – I mean paper passers hand out the papers to everyone in the class.,FALSE
4 times 3 is—,FALSE
"Okay, do we need to remind ourselves how to work in groups?  We cooperate.  We use – listen.  We use kind voices.  We help each other.  That's why we’re working in groups.  Let’s remember that.",TRUE
"How far did they end up going all together, Student M?  All together.  What am I underlining?  Tell me what to underline in the question.  What's important here?  I need some other hands.  Student C, what's important in this question?  We did what we did before with RUUSSC, right? This is a story problem.  We don't want to use this.",FALSE
"So let’s see how we do.  If you want a set of cubes for the mixed fraction that you have, or the improper fraction that you have, just take one set, that’s all you need, one set of cubes. If each group wants to go get one set of cubes so that when you get to your improper fraction – one person from each group. Ladies and gentlemen, you only need one set. I want you over here so we can all see, so let’s turn your desk that way, and turn Student S this way, and Mrs. H is going to sit in the middle.",TRUE
"An N, and and what else do you see Student M?",FALSE
"Very good, 10 times 3.  Student F, what’s my next little problem?",FALSE
You had that big eyed look.  Yes?,FALSE
"You have two players, so if you’re – if you get a factor set of 6 times 8, how many squares do you get?",FALSE
"Feet, okay?  And then you do not – it is?  Okay.  It didn’t seem like any lights were on.",FALSE
"A 13 by 2.  Another set of dimensions, Student L.",FALSE
"Okay.  I'm gonna put my zero down, 'cause I know over here I'm multiplying by 10.  So –",FALSE
No.  Wait.  I have a question.  Each student needs 9 notebooks?,FALSE
Go ahead.  What could I do to get from five to ten?,FALSE
Plus 1.,FALSE
"If the denominators are the same, yes, when you’re adding the numerators the denominators stay the same.  But when we order fractions on a number line, are we adding them together or are we trying to see greater than, less than or equal to?",FALSE
"– more boring than a sheet of paper?  Okay, so please put it away.  Good.  Okay, we are going to do centers tomorrow. You do not need to bring your math journal one and two. You just need to bring your math notebook and coloring tools.  Please do not come in here tomorrow without your coloring tools.  You need your markers, crayons, colored pencils, or whatever.  You need to make sure you have. What's wrong?",TRUE
3 is half of 6. Good.  Student M?,FALSE
"Put that away.  Put that away.  All right, so it says – go ahead, Student A.",TRUE
"When you get to the end, you're gonna total, you're gonna add all these up and write that number out of 100.  You girls need to be at your desks please.  I'm not sure why you're walking around.  Have a seat.  Okay.  This – okay, this Post-it when you get done with the total, you're gonna add all your total down and write that number on here out of 100.  When you get to the end you're gonna add the total down and write that number and write it out of 100.  You're gonna add them up and then write this number on the Post- it.",TRUE
"No, you have to do the sixteenths.  Keep going.  Keep going. Keep going.  Yep.  We want to see. Go in, yes honey, and draw the picture.  You have to show me that it’s now divided into six pieces.  Keep going.  You want to see can I do this with sixteenths.",FALSE
"Two, and then I have one.  And how many am I supposed to have in a package?",FALSE
"The answer would be [inaudible].  Okay, I want to keep that. No, I want to keep it.",FALSE
It depends on what you were listening to as well.,FALSE
"Okay, so it says that Lewis walked seven-tenths of a mile every day to school, and they want to know how many miles does he walk in one day.  How many miles does he walk in one day. So what will our problem look like, Student N?",FALSE
"No, it’s not going to work.  Does it work for 6?  Well, it doesn’t matter, since it doesn’t work for 3, we can just stop.  The next one would be 120.  And 120 would work.  We can drop off that zero off the end, right?  Yeah, it would work.  Now that’s going to be a whole lot of work, all right, but it could be done.  We could set this up as one- hundred-and-twentieths and we could just go through it, okay, and find out.  Okay, 5 times what equals 120? [0:31:00]",FALSE
"So that's why you need to know how to round so that you can use that to make an estimate.  Have an idea of what the thing cost.  That's why we're doing rounding.  And we're estimating.  So we are rounding.  It says $5.78 rounds to $6.00.  It rounds to $6.00 because 5, we look at the 5. Then we look to the right of the five.  What number to the right?",FALSE
"Okay, what did you do?",FALSE
Look at how many blue or green pieces there are.,FALSE
No.  They were really cool by the way.,FALSE
4.  The width is –,FALSE
"Good, one and six-tenths.  So let’s make that as a model.  How do you make one and six-tenths as a model?  Did you already make that with your thing, Student G?",FALSE
Do we start with one-half?,FALSE
Say that again?,FALSE
Mm-hmm.  Pay attention.  Okay.  Be careful with number six. Can I group it like I group these?,TRUE
"All right.  So we’re running.  Today in math, let’s look at the objective.  Students will be able to use doubling and halving strategies to solve multiplication problems.  So do we remember our doubling and halving strategies?  Put your hand up if you remember them.  Okay.  I want us to look at two problems.  Now, I don’t want us to solve these problems.  I just want you to look at them.  Just look at these problems.  Now, what do we know about these problems? What can someone tell me about these two multiplication problems that we’re going to know, Student K?",TRUE
So what is that fraction?,FALSE
"Okay.  Now, let’s think about it as times two.  We are not doing what?  We are not squaring the number.  We are not multiplying it by itself.  We are multiplying by two. What’s two times – double – what’s the double of two?",FALSE
"Thank you.  You need to decide what it’s going to be.  I pick this out and lay it down.  If it doesn’t cover 4 boxes, guess what?  It’s not worth 5.  So whatever this is, you get 5.  What if I roll a 6 the next time?  What am I going to do, Student L?",FALSE
"Right, a rectangle and a triangle.  All right put these away, you can take these home.",TRUE
So what do we do to Student J's answer then?,FALSE
"How much her car is worth.  So value of Sarah's car.  Okay, now something you should know about cars is every year that your car gets older, it's worth less money.  Even the minute, if you buy a new car, the minute you drive it off of the parking lot from where you bought it from, from the dealership it loses money.  Okay?  Their value depreciates each year.  Okay?  So–",FALSE
Wait without touching it try to see it in your head.,TRUE
How many wholes is that?,FALSE
Cubic inches.  So the way I would write that is what?  Inches to the third power.  Yes?  Do you all agree with that?,FALSE
So let's see.  12 times 2 is—,FALSE
"What happens to trees?  What do people do with trees?  If he has trees and he's selling them, then what do people do with them?",FALSE
Work is where it always is.,FALSE
"You’re correct.  So I’ve got to do 16 divided by 2 and I get 8 quarts.  Okay, we’re going to look at it the other way now. What if I’m going from a larger unit – which unit do you want to start with?",FALSE
Yep.  Cut 24 in half and get 12.  So if I cut this one in half I need to do what to 7?,FALSE
Really?,FALSE
It is.  So what do we do with the decimal?,FALSE
"Okay.  Let me hear from Student, sitting way back there in the back.  Student?",FALSE
Keep it in [inaudible] and then grab another notebook. All right.  So what number do we have?,TRUE
Do you roll two times right away?,FALSE
"Nice.  Notice how they did that percent right at the same time, which is what my group and I didn't do.  So that's why we're a little bit off.  Continue.",FALSE
Greater things.,FALSE
"Okay.  So if we multiply a number by three, is that going to give us three more than that number?",FALSE
"Okay, well, this one has one behind, and this one has one behind it, and that would be two.  How come I’m not moving this over two places?  Why did I only move it over one?  Or why did I put it right here, Student J?",FALSE
"Yes.  Now you can try.  Erase your board.  You can try doing this on your paper, okay, two different ways.",TRUE
"Hold on.  Let’s do it step-by-step.  So we’ve got to put our brackets back in, subtract again, the 1 plus 9.  Do you want to do that work now?",FALSE
"No, that’s six times four.  Mm-hmm.",FALSE
"Why did you add 17?  What did that bring you to?  When you added 17, what did it bring you to?",FALSE
"Yes.  Equal.  The reason I bring this out is because this is the difference between an expression and an equation.  An equation – if I was to write two plus X equals four, that is an -",FALSE
"This is not what this looks like.  You have blank, blank.  So you have two blanks.  Two blanks.  And then you have four in the middle.  Oh, you did it the opposite way?",FALSE
"Our length.  Forty-five feet.  If I’m going to make this into two squares, I’ve now cut it in half.  This isn’t 45 feet anymore.  This is half of 45.  Each of these would be half of 45.  What’s half of 45?  Figure that out.  That’s why, remember I told you – it might not have a whole number? Yes?",FALSE
"Perimeter of a polygon, right?",FALSE
I don’t have any of these baby. But you can make it using these shapes.,FALSE
"Yes, this will be on your CRCT.  Student C?",FALSE
"Normally I would have put my 12 on the bottom, because I like to put my smaller numbers on the bottom.  It's just personally it's my preference, but it doesn't make any difference.  Okay.  Hi, Student D.",FALSE
"Okay.  So you just randomly chose the number 3?  Okay. Student, what do you think?",FALSE
"Yeah.  Guys, you’re going to get sixteen feet.  Here’s why. Look what you have.  You’re gonna take your decimal, right? Move it over.  Remember doing that?  If I move it over one spot, right here?  What do I have to do here?  Move it over one.",FALSE
Yes.  $39.45 times …,FALSE
Four times as big.  So what’s going to happen for the next pattern for that?  It’s going to be?,FALSE
You can use these if you need them.  [Long pause],FALSE
"So you see how he spelled his?  All right, thumbs up if we agree with Student L.  Thumbs down if we disagree.  All right, looks like everybody agrees with you.  All right, next place.  Don't forget this side of the room.  The ones place.  Thumbs up if you agree with Student T.  Thumbs down if you disagree.  Hang on, let's see who agrees and who disagrees.  Okay, good.  Come on, Student T.  Look at that, they're clapping for you and everything.  All righty, thumbs up if we agree with Student T that it's in the hundredths place.  Thumbs down if you disagree.  Okay, let's practice saying these numbers.  Who thinks they can say this one?  Student H?",FALSE
"Okay, wait.  Okay.  So Student D said 28, we could have 28 rows, or we could have 2 rows.  What do you notice about the way I’m setting this up?  What does it look like we’re about to list?  I’m giving you a lot of hints on this one. Student J?",FALSE
"What makes the raise number?  Raises is going to be 5, 6, 7, so 5 or higher.  Wait a minute.  We're still on number one. What happened to number 5?  Okay.  What about all the numbers to the left right here?  Student C, they're taking a test.  Write the numbers to the left.  Okay.  Numbers to the left, numbers to the right, zeros.  I've got number two.  You're going to highlight the underlined digit.  Very good.  The only thing I want to see here – I want you to highlight the operations, so the addition and the subtraction sign.  Remember what I told you?  Sometimes people make silly mistakes.  Someone was double checking a minute ago and they subtracted instead of adding.  Just make sure you're highlighting that because that will be that visual reminder.  I've highlighted this.  Table two, I see a lot of staring.  Give me just one second to work with Student V, and I'll be right over there.  Read the next task.  What's my number to the right of it?  So what happens to my 7?  My numbers to the left?",TRUE
You gotta know that order.,FALSE
"Unless the tree changes.  Excellent, Student D.  Student A?",FALSE
"Shh, shh, shh, shh, shh.  You have some equivalent pieces here. You’ve got the squares and you’ve got the circles.  You can pull those out and see what equals what, okay.  So you might want to just prove something to me, as I come around. [Loud noise]  Whoops.",FALSE
Did it?,FALSE
Two.  So 6 divided by 2 is going to give me 3.  Look at the G. Find 6 cups.  How many pints is 6 cups.,FALSE
"Then it’s gonna be – so it really doesn’t matter, ‘cause what are you doing to them?  You’re multiplying them together, and with multiplication, does it matter if I say five times four or four times five?",FALSE
"You might make a lot of mistakes, which is what happens, so we don't recommend you do this way, but if you're given it, use it.  If they give it to you, then you use it.  Look at the one they gave us.  Another way is to use the number lines.  What fraction is blue at the top?",FALSE
Okay.,FALSE
"One sixth, yes.  All right.  And what was a fraction of each – or just one of the triangles?  Student M?",FALSE
Decimal.  I move over one.  Who can read to me this number? Student M.,FALSE
"No, no.  What is the first number you're trying to write?  What is the first number?",FALSE
"Who?  Sweetie, all you have to do is walk to the seat.  Did anyone hear me say bring your math journal?",TRUE
"Now, it’s a three.  Four times six?",FALSE
There's two shaded out of how many?,FALSE
"Okay.So this is one of the patterns that would have been accepted if you chose those dimensions.Does anybody remember choosing those dimensions for their volume?Couple of you?Lots of other possibilities, right?This is the second one you had to do.",FALSE
Seventy plus eighty.,FALSE
"So let's put that number up here because that will help us figure out the rest of it.  What else do we know?  What does it say?  There is no bar for Monday, Tuesday, Thursday.  So Monday we're going to put 0.  Tuesday, 0. Thursday, 0.  So what days do we have left to figure out? We know that Friday is at least 5 longer that Wednesday. So we have 14 students left to figure out.  What else do we know?  The length of Sunday is equal to Wednesday, and Friday is 5 more than Wednesday.  How can we figure this out?  Student M, what do you think?",FALSE
"Is counting by ones.  Those are your patterns, sweetheart. Good job.  Okay, and here we go over here.  Are we good with this?",FALSE
"Okay, go Student I, very quickly.  What's up, Student M?",FALSE
"$30.00, and then how much do you have left?  What’s 100 minus 30?  How much is that?  What’s 10 minus three?",FALSE
"If you were just going to read that, what would you say?",FALSE
"Good.  That means now you'll know.  Make sure you're copying it down.  As you're copying it down or as some of you are finishing it, I want you to look at my circle.  I have labeled my circle with some points and some line segments, okay.  In a second we're gonna talk and we're gonna try to figure out which line segment equals the radius, which line segment equals the diameter, and which line segment equals a cord.  So as you're finishing, go ahead and start looking at that.",TRUE
"Student M, you're going to come to me for group, and Student L.  You all can just drop your stuff off, and we're going to be standing at the board.Put your stuff down.We're just going to stand at the board.",TRUE
So he says the pattern is one times three equals three.  Two times three equals six.  That true?,FALSE
"We’ll see what happens. “Meanwhile, at an Inn on the other side of town, a weary young nobleman had just alighted from the Dover coach.  ‘Do you have a meal and a room for a weary young nobleman?’ he asked the innkeeper.  ‘Oh, Mr.  Nobleman, replied the innkeeper, your honor, my humble lodgings…’” Of course, you’re reading as Daffy Duck here, “’They are humble,’ the nobleman agreed, ‘aren’t they?’ That evening the young nobleman paid a visit to Lord High Chamberlain and requested an audience with fair Melissa.  But before he could see her, the Grand Duke rushed into the room.” Would you, Student M, have a seat behind Student R? “’We mustn’t have the wedding tonight.  I have heard that the Scarlett Pumpernickel is about.’ He turned to the young nobleman, ‘Who might you be?’ he asked.  ‘Perhaps I am the Scarlet Pumpernickel of whom you speak,’ replied the young nobleman.  The wedding took place later that night, but there was one uninvited guest – it was the Scarlet Pumpernickel.  ‘Save me, Scarlett,’ cried Melissa, ‘save me!’ ‘I will save you, Milady Melissa,’ the Scarlet Pumpernickel assured her.  ‘After them,’ screamed the Lord High Chamberlain, ‘they must not g-g-g-g-g- escape!’ ‘Halt,’ said the Grand Duke, ‘bar the way.  If you want the fair Melinda, you will have to fight me.’ ‘Must I?’ asked the Scarlet Pumpernickel.  ‘You must,’ replied the Duke.”",TRUE
"All right, boys.  Who’s here now?",FALSE
What did you do with the other two hundreds?,FALSE
"Three apples.  So then he asked – what was your final question, Student J?",FALSE
Happen.  Yes.  Okay.  Yes?,FALSE
You weren’t just talking I’m okay with the talking what were you doing?,TRUE
"- a purple-striped shirt?  Student P, what are you thinking?",FALSE
"Because they're even, right?  Anybody come up with something else?  How about if the bigger the denominator the smaller the pieces, so what’s the opposite?  The smaller the?",FALSE
8 minus 8.,FALSE
"Okay, so we’re saying 6/12 is an equivalent fraction to ½. Student C?",FALSE
"Do B times 25.  Next row is going to be 800 divided by 25.  Do that work right here, and you're going to do B equals whatever it is.  Student J.  If you get done early – it doesn't look like you've done anything since I've looked at your paper.  What number are you on?",TRUE
We’ll – what did Teacher want you for?,FALSE
"What?  How many points?  Oh, I don’t — I might have to do this with you at recess because you're not understanding this very well.  Do you have the shape out.  Student K, where’s the shape?  Will you hand it to him for a minute so he can count how many points we have?",FALSE
"Where do I put it?  You want to come up here and show me? Student D, you need to be on the carpet.",TRUE
